disease,support,auc,auc_ci_low,auc_ci_high,ap,brier_score,sens@0.5,spec@0.5,f1@0.5,youden_threshold,sens@youden,spec@youden,precision@youden,f1@youden,f1@youden_ci_low,f1@youden_ci_high,f1_optimal_threshold,sens@f1opt,spec@f1opt,precision@f1opt,f1@f1opt,threshold_source
No Finding,9434,0.7875065161830693,0.7805507047368835,0.7937103993740308,0.8027576470134887,0.20653082140345563,0.678503285986856,0.780259545794859,0.7275517162991589,0.4917643,0.6937672249311003,0.7694035437983529,0.7798165137614679,0.7342794637347844,0.7273612933683403,0.7415070498970522,0.42690134,0.8101547593809625,0.6115547791365111,0.7105801413164745,0.7571074789499752,val_predictions.csv
Infiltration,3093,0.7143992969371744,0.7048131684719682,0.7237993336027906,0.3559653159337461,0.29332501488182167,0.9062398965405755,0.26617903169627305,0.34120511259890446,0.6251121,0.5738764953119948,0.7529780564263323,0.33358391279834615,0.4219158545281673,0.40917114719920994,0.43441588040669,0.63185686,0.558034270934368,0.7661442006269592,0.33956325004918353,0.42221135029354206,val_predictions.csv
Effusion,2038,0.8778667835461088,0.8701992071862489,0.8858260964299143,0.5161830349512835,0.20488292462244462,0.9003925417075564,0.6628812459441921,0.4047198941332157,0.5906388,0.838567222767419,0.7684620376378974,0.32385825279514874,0.46725905673274093,0.45200647767306035,0.4819806337623202,0.76146364,0.6310107948969578,0.9067488643737832,0.4722732280572898,0.5402226423020374,val_predictions.csv
Atelectasis,1758,0.818780032063204,0.8087574484764495,0.8289108233743548,0.3621917359887103,0.2395730190452415,0.8594994311717861,0.6064372211599746,0.31999152901313005,0.5376184,0.8145620022753128,0.6660293180369662,0.2146282973621103,0.3397390272835113,0.32701170912474775,0.3524056326166355,0.7394069,0.512514220705347,0.889929891650733,0.3428462709284627,0.4108527131782946,val_predictions.csv
Nodule,979,0.7780358194251236,0.7624437893926467,0.793716096798032,0.25136877259836415,0.22262355746311982,0.7037793667007151,0.7044750743821726,0.2108645753634277,0.5125193,0.6782431052093973,0.7362317080575627,0.13258785942492013,0.22181393018206114,0.20839635794994493,0.23610405926555905,0.7099642,0.36976506639427986,0.9491772420912017,0.3019182652210175,0.33241505968778695,val_predictions.csv
Mass,760,0.8510118758515417,0.8368484639969578,0.8650054811432188,0.300369932703217,0.16498810674591546,0.7210526315789474,0.824065196548418,0.2582469368520264,0.45587,0.7605263157894737,0.7775647171620326,0.13473193473193473,0.22891089108910892,0.2127723490207521,0.24365000801392966,0.7727243,0.4644736842105263,0.9560162991371045,0.3247470101195952,0.3822414726583649,val_predictions.csv
Pneumothorax,835,0.8951790153515877,0.8838851796694684,0.9067068730102932,0.3362974976991158,0.13002687784741698,0.7760479041916167,0.8682959128393427,0.35303731953146283,0.35118186,0.881437125748503,0.7448383795822549,0.1479396984924623,0.2533562822719449,0.23881245684071284,0.2686295632288148,0.80284864,0.5449101796407185,0.9505808704026967,0.3565830721003135,0.43107531975367125,val_predictions.csv
Consolidation,771,0.7973606558486267,0.7826264521715053,0.812449698520953,0.13659978004582335,0.19716581029182956,0.7937743190661478,0.6892126881333573,0.18641486445324398,0.46821514,0.8184176394293126,0.6484979312826048,0.09718158016325273,0.17373348017621146,0.16234790120607878,0.18533196814722958,0.6578017,0.46303501945525294,0.8761767704023505,0.14739884393063585,0.223614155966176,val_predictions.csv
Pleural_Thickening,536,0.8008762876134934,0.7814319351581609,0.8215074257851751,0.14434363799739602,0.15993259277955835,0.625,0.8271641438032167,0.17659462308908802,0.42682427,0.7649253731343284,0.7244560075685903,0.08086785009861933,0.14627185158758474,0.1336601003271162,0.15937427662283687,0.6467612,0.3843283582089552,0.9398651844843898,0.16843826655764513,0.23422399090392268,val_predictions.csv
Cardiomegaly,496,0.9033077503463289,0.8877423417112348,0.9178450680507775,0.3229054557105172,0.09578731729393003,0.7439516129032258,0.9095681925436526,0.30775646371976645,0.32942685,0.8770161290322581,0.7671661160924964,0.09926973984481972,0.17835178351783518,0.16427461419419676,0.19209807181126357,0.7998311,0.4153225806451613,0.9784096271826334,0.36013986013986016,0.3857677902621723,val_predictions.csv
Emphysema,472,0.9257652129027619,0.9119153686871053,0.9390009337445627,0.4083634034998989,0.08247958128669408,0.7563559322033898,0.9390315739868049,0.3830472103004292,0.41194162,0.826271186440678,0.8839538171536286,0.1652542372881356,0.2754237288135593,0.25387130172578504,0.2977636449997643,0.69400316,0.5932203389830508,0.9797360980207351,0.44871794871794873,0.5109489051094891,val_predictions.csv
Edema,334,0.8912515333945874,0.8735680091886868,0.9062707860346528,0.17169668620646436,0.1226746009124594,0.7994011976047904,0.829262592029917,0.15157536190746523,0.44074872,0.844311377245509,0.7925090569124693,0.07357161492303678,0.1353491720662347,0.12081518062448789,0.14998900639489815,0.79280144,0.36826347305389223,0.9655837326165713,0.17275280898876405,0.23518164435946462,val_predictions.csv
Fibrosis,277,0.8032304908347063,0.774678467436521,0.8292691943732513,0.09564903086895962,0.10911398235171414,0.4584837545126354,0.9128763613068546,0.1336842105263158,0.35641328,0.7184115523465704,0.7375808048453788,0.042295430393198725,0.07988759534323565,0.06965235036518132,0.09008314913095632,0.67513394,0.20216606498194944,0.979442082581096,0.13691931540342298,0.16326530612244897,val_predictions.csv
Pneumonia,210,0.7705440361548959,0.7380632562455749,0.8010627390751,0.043697282275506635,0.11428945031448107,0.41904761904761906,0.8984220907297831,0.08589555880917521,0.3985121,0.638095238095238,0.771261167188769,0.0328673043904832,0.06251457895964543,0.05267738479541247,0.0728435742075176,0.5370734,0.3238095238095238,0.9295741965425224,0.0530421216848674,0.09115281501340483,val_predictions.csv
Hernia,34,0.8490903194860119,0.7667229996427598,0.9185176455925387,0.21707608559017946,0.022322820653229658,0.3235294117647059,0.9943723440909613,0.15384615384615385,0.1417,0.7647058823529411,0.7310784426323648,0.005521342110851561,0.010963525195024247,0.0071321815372555565,0.015010123453734273,0.7014275,0.2647058823529412,0.9994257493970369,0.47368421052631576,0.33962264150943394,val_predictions.csv
